id,customer_id,merchant_id,status,created_at,updated_at
1,1,10,pending,2009-02-07,2014-03-15
2,1,11,shipped,2012-11-23,2013-04-14
3,1,12,shipped,2009-12-09,2010-07-10
4,1,12,pending,2013-08-05,2014-06-06
5,1,12,pending,2014-02-08,2014-07-22
6,1,14,pending,2015-03-13,2015-04-05
7,1,14,pending,2006-10-16,2013-12-24
8,1,17,shipped,2003-11-07,2004-07-31
9,2,18,shipped,2003-03-07,2008-10-09
10,2,19,pending,2014-04-13,2015-01-20
11,2,21,pending,2008-01-07,2014-05-30
12,2,21,shipped,2014-05-06,2014-10-06
13,3,23,shipped,2004-02-14,2010-03-26
14,3,25,pending,2005-12-19,2010-08-18
15,3,25,shipped,2012-07-21,2014-07-01
16,5,25,shipped,2014-07-26,2014-08-25
17,5,25,pending,2005-06-03,2015-07-01
18,5,26,shipped,2001-12-13,2006-05-02
19,5,28,shipped,2004-09-28,2012-08-28
20,5,29,shipped,2010-09-17,2012-10-11
